Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
2658,,,,,,,
,791,,,,,,
,135,,,,,,
,,1930,,,,,
,,,958,,,,
,,,2429,,,,
,,,2896,,,,
,,,2871,,,,
,,,2827,,,,
,,,2442,,,,
,,1031,,,,,
,,,1737,,,,
,,,194,,,,
,,,2138,,,,
,,,2440,,,,
,,,2430,,,,
,,,2895,,,,
,,,2494,,,,
,,1878,,,,,
,,,2326,,,,
,,,1840,,,,
,,,2157,,,,
,,,2354,,,,
,,,2460,,,,
,2841,,,,,,
,,23,,,,,
,,,862,,,,
,,2865,,,,,
,,,1881,,,,
,,,802,,,,
,,,2204,,,,
,,1343,,,,,
,,,1682,,,,
,,,571,,,,
,,,1485,,,,
,400221,,,,,,
,,2241,,,,,
,,,2869,,,,
,,400181,,,,,
,,21,,,,,
,,,2314,,,,
,,,1237,,,,
,,,268,,,,
,,,2401,,,,
,,447,,,,,
,,479,,,,,
,,2592,,,,,
,,,2586,,,,
,2169,,,,,,
,2727,,,,,,
,,712,,,,,
,,,2855,,,,
,,,,588,,,
,,,,2171,,,
,,,,852,,,
,,,1093,,,,
,,,1977,,,,
,,,1267,,,,
,,154,,,,,
,,,1190,,,,
,,,,1344,,,
,,,,1164,,,
,,212,,,,,
,,2798,,,,,
,,,2007,,,,
,,,1832,,,,
,,,400332,,,,
,,,1382,,,,
,,,2652,,,,
,,,400127,,,,
,,,1428,,,,
,,,470,,,,
,,,1028,,,,
,,,1983,,,,
,,,1029,,,,
,,,,2348,,,
,,,,1385,,,
,,,,393,,,
,,,,1079,,,
,,,,1678,,,
,,,,400250,,,
,,,,814,,,
,,,,2345,,,
,,,,1167,,,
,,999,,,,,
,,,970,,,,
,,,,2568,,,
,,,,400158,,,
,,,,2863,,,
,,,,400343,,,
,,,,2353,,,
,,,,550,,,
,,,959,,,,
,,,,2866,,,
,,,,1261,,,
,,,,315,,,
,,,,293,,,
,,,1277,,,,
,,,,2301,,,
,,,,1177,,,
,,,,1375,,,
,,,,1645,,,
,2746,,,,,,
,,8,,,,,
,,,1685,,,,
,,,,1348,,,
,,,,,2018,,
,,,,,2376,,
,,,,,909,,
,,,,,1794,,
,,,,,782,,
,,,,,2807,,
,,,,,2249,,
,,,,,2724,,
,,,,,2172,,
,,,,,2738,,
,,,,,2252,,
,,,,,2811,,
,,,,2862,,,
,,,,,2815,,
,,,,,2473,,
,,,,,2663,,
,,,,,2215,,
,,,,,2665,,
,,,,,553,,
